baseline,race_id,season,round,race_date,field_size,spearman_correlation,mean_absolute_position_error,kendall_correlation,winner_accuracy,top_three_overlap
constructor_teammate_recent_5,2026-10,2026,10,2026-07-19,22,0.7029926595143987,2.727272727272727,0.6277056277056277,0.0,0.3333333333333333
constructor_teammate_season_weighted,2026-10,2026,10,2026-07-19,22,0.6453980801806889,3.6363636363636362,0.49783549783549785,0.0,0.3333333333333333
constructor_teammate_unweighted,2026-10,2026,10,2026-07-19,22,0.6341050254093732,4.0,0.49783549783549785,0.0,0.6666666666666666
driver_form_recent_10,2026-10,2026,10,2026-07-19,22,0.6487859966120836,3.3636363636363638,0.5324675324675324,0.0,0.0
driver_form_recent_5,2026-10,2026,10,2026-07-19,22,0.6871823828345567,3.3636363636363638,0.5584415584415584,0.0,0.0
driver_form_season_weighted,2026-10,2026,10,2026-07-19,22,0.46132128740824396,4.909090909090909,0.29004329004329005,0.0,0.3333333333333333
driver_form_unweighted,2026-10,2026,10,2026-07-19,22,0.4025974025974026,5.0,0.26406926406926406,0.0,0.6666666666666666
previous_race_order,2026-10,2026,10,2026-07-19,22,0.3404856013551666,4.818181818181818,0.29004329004329005,0.0,0.3333333333333333
constructor_teammate_recent_10,2026-11,2026,11,2026-07-26,22,0.7809147374364765,3.090909090909091,0.5757575757575758,0.0,0.3333333333333333
constructor_teammate_recent_5,2026-11,2026,11,2026-07-26,22,0.7267080745341614,3.090909090909091,0.5584415584415584,0.0,0.0
constructor_teammate_season_weighted,2026-11,2026,11,2026-07-26,22,0.7380011293054771,2.909090909090909,0.6103896103896104,1.0,0.6666666666666666
constructor_teammate_unweighted,2026-11,2026,11,2026-07-26,22,0.8102766798418972,2.8181818181818183,0.645021645021645,0.0,0.3333333333333333
driver_form_recent_10,2026-11,2026,11,2026-07-26,22,0.7492941840767928,3.090909090909091,0.5844155844155844,0.0,0.3333333333333333
driver_form_recent_5,2026-11,2026,11,2026-07-26,22,0.7470355731225297,3.090909090909091,0.5757575757575758,0.0,0.3333333333333333
driver_form_season_weighted,2026-11,2026,11,2026-07-26,22,0.5313382269904009,4.636363636363637,0.3939393939393939,0.0,0.6666666666666666
driver_form_unweighted,2026-11,2026,11,2026-07-26,22,0.5189158667419538,4.818181818181818,0.35064935064935066,0.0,0.6666666666666666
previous_race_order,2026-11,2026,11,2026-07-26,22,0.611518915866742,3.909090909090909,0.43722943722943725,0.0,0.6666666666666666
